Life Regen,ライフ再生
Socketed Gems have {0}% increased Skill Effect Duration,ソケットされたジェムのスキル効果持続時間が{0}%増加する
Socketed Gems have {0}% reduced Skill Effect Duration,ソケットされたジェムのスキル効果持続時間が{0}%減少する
Traps from Socketed Skills create a Smoke Cloud when triggered,ソケットされたジェムによるトラップは作動すると煙幕を生成する
Socketed Curse Gems have {0}% increased Mana Reservation,ソケットされた呪いジェムのマナリザーブが{0}%増加する
Socketed Curse Gems have {0}% reduced Mana Reservation,ソケットされた呪いジェムのマナリザーブが{0}%減少する
Skills from your Helmet Penetrate {0}% Elemental Resistances,ヘルメットからのスキルは敵の耐性を{0}%貫通する
Skills from your Gloves have {0}% increased Area of Effect,グローブからのスキルは{0}%増加した範囲効果を持つ
Skills from your Boots Leech {0}% of Damage as Life,ブーツからのスキルはダメージの{0}%をライフとして吸収する
Skills in your Helm have {0} to maximum number of Summoned Totems,ヘルメット内のスキルは召喚可能なトーテムの最大数に{0}を加える
Grants Level {0} Frostblink Skill,レベル{0}フロストブリンクスキルを付与する
Grants Level {0} Purity of Fire Skill,レベル{0}のピュリティオブファイヤスキルを付与する
Grants Level {0} Illusory Warp Skill,レベル{0}イリューソリィーワープスキルを付与する
Grants Level {0} Bear Trap Skill,レベル{0}ベアトラップスキルを付与する
Grants Level {0} Summon Stone Golem Skill,レベル{0}ストーンゴーレム召喚スキルを付与する
Grants Level {0} Vengeance Skill,レベル{0}ヴェンジェンススキルを付与する
Grants Level {0} Despair Skill,レベル{0}ディスペアスキルを付与する
Grants Level {0} Purity of Ice Skill,レベル{0}のピュリティオブアイススキルを付与する
Grants Level {0} Purity of Lightning Skill,レベル{0}のピュリティオブライトニングスキルを付与する
Grants Level {0} Flammability Skill,レベル{0}フラマビリティスキルを付与する
Grants Summon Harbinger of the Arcane Skill,アーケインのハービンジャー召喚スキルを付与する
Grants Summon Harbinger of Time Skill,時のハービンジャー召喚スキルを付与する
Grants Summon Harbinger of Focus Skill,集中のハービンジャー召喚スキルを付与する
Grants Summon Harbinger of Directions Skill,方向のハービンジャー召喚スキルを付与する
Grants Summon Harbinger of Storms Skill,嵐のハービンジャー召喚スキルを付与する
Grants Summon Harbinger of Brutality Skill,残虐のハービンジャー召喚スキルを付与する
Grants Level {0} Conductivity Skill,レベル{0}コンダクティヴィティスキルを付与する
Grants Level {0} Frostbite Skill,レベル{0}フロストバイトスキルを付与する
Grants Level {0} Temporal Chains Skill,レベル{0}テンポラルチェーンスキルを付与する
Grants Level {0} Haste Skill,レベル{0}のヘイストスキルを付与する
Has an additional Implicit Mod,暗黙モッドを追加で1個持つ
Grants Level {0} Clarity Skill,レベル{0}クラリティスキルを付与する
Grants Level {0} Vitality Skill,レベル{0}バイタリティスキルを付与する
Grants Level {0} Purity of Elements Skill,レベル{0}ピュリティオブエレメンツスキルを付与する
Grants Level {0} Gluttony of Elements Skill,レベル{0}元素の飽食スキルを付与する
Grants Level {0} Assassin's Mark Skill,レベル{0}アサシンの呪印スキルを付与する
Grants Level {0} Wrath Skill,レベル{0}のラーススキルを付与する
Grants Level {0} Hatred Skill,レベル{0}のヘイトレッドスキルを付与する
Grants Level {0} Anger Skill,レベル{0}のアンガースキルを付与する
Grants Level {0} Determination Skill,レベル{0}のデターミネーションスキルを付与する
Grants Level {0} Grace Skill,レベル{0}のグレーススキルを付与する
Grants Level {0} Scorching Ray Skill,レベル{0}スコーチングレイスキルを付与する
Grants Level {0} Discipline Skill,レベル{0}のディシプリンスキルを付与する
Grants Level {0} Envy Skill,レベル{0}エンビースキルを付与する
Grants Level {0} Reckoning Skill,レベル{0}レコニングスキルを付与する
Grants Level {0} Blight Skill,レベル{0}ブライトスキルを付与する
Grants Level {0} Projectile Weakness Skill,レベル{0}のプロジェクタイル弱体化スキルを付与する
Grants Level {0} Elemental Weakness Skill,レベル{0}エレメンタルウィークネススキルを付与する
Grants Level {0} Doryani's Touch Skill,レベル{0}ドリヤニズタッチスキルを付与する
Grants Level {0} Vulnerability Skill,レベル{0}ヴァルネラビリティスキルを付与する
Grants Level {0} Death Aura Skill,レベル{0}のデスオーラースキルを付与する
Grants Level {0} Icestorm Skill,レベル{0}アイスストームスキルを付与する
{0}% chance to Trigger Level {1} Create Lesser Shrine when you Kill an Enemy,敵を倒した時にレベル{1}のレッサー શ્રાઇન生成スキルをトリガーする確率が{0}%
Trigger Level {0} Consecrate when you deal a Critical Strike,プレイヤーがクリティカルストライクを与えた時にレベル{0}コンセクレートをトリガーする
Trigger Level {0} Shock Ground when Hit,ヒットを受けた時にレベル{0}感電領域をトリガーする
Grants Level {0} Petrification Statue Skill,レベル{0}石化の像スキルを付与する
Triggers Level {0} Blinding Aura when Equipped,装備するとレベル{0}盲目オーラをトリガーする
Grants Level {0} Blood Offering Skill,レベル{0}ブラッドオファリングスキルを付与する
Grants Level {0} Summon Doedre's Effigy Skill,レベル{0}のドゥードレの分身召喚スキルを付与する
Socketed Curses are Triggered by Doedre's Effigy when Summoned,召喚時にソケットされた呪いがドゥードレの分身によってトリガーされる
Socketed Curses ignore Curse Limit,ソケットされた呪いは呪い制限を無視する
Grants Level {0} Abyssal Cry Skill,レベル{0}のアビサルクライスキルを付与する
Grants Level {0} Precision Skill,レベル{0}プレシジョンスキルを付与する
Grants Level {0} Aspect of the Avian Skill,レベル{0}鳥のアスペクトスキルを付与する
Grants Level {0} Bone Armour Skill,レベル{0}ボーンアーマースキルを付与する
Grants Level {0} Aspect of the Cat Skill,レベル{0}猫のアスペクトスキルを付与する
Grants Level {0} Aspect of the Crab Skill,レベル{0}蟹のアスペクトスキルを付与する
Grants Level {0} Decoy Totem Skill,レベル{0}デコイトーテムスキルを付与する
Grants Level {0} Enduring Cry Skill,レベル{0}エンデュアリングクライスキルを付与する
Grants Level {0} Herald of Ash Skill,レベル{0}ヘラルドオブアッシュスキルを付与する
Grants Level {0} Herald of Ice Skill,レベル{0}ヘラルドオブアイススキルを付与する
Grants Level {0} Herald of Thunder Skill,レベル{0}ヘラルドオブサンダースキルを付与する
Grants Level {0} Intimidating Cry Skill,レベル{0}インティミデーティングクライスキルを付与する
Grants Level {0} Lightning Warp Skill,レベル{0}ライトニングワープスキルを付与する
Grants Level {0} Malevolence Skill,レベル{0}のマレヴォレンススキルを付与する
